"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"B1";"GPS Backup";"CR1220SMT";"CR1220-SMD";"CR1216/CR1220/CR1225 12mm 3V lithium coin cell";"";"";"";"";"";"";
"B2";"RTC Backup";"CR1220SMT";"CR1220-SMD";"CR1216/CR1220/CR1225 12mm 3V lithium coin cell";"";"";"";"";"";"";
"C1";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C2";"4.7";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C3";"7.5pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C4";".22";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C5";"7.5pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C6";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C7";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C8";"4.7";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C9";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C10";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C11";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C12";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C13";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C14";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C15";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C16";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C17";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C18";"10";"CPOL-USA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";
"C19";"3.3";"CPOL-USA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";
"C20";"1.0";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C21";"1.0";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C22";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"C23";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"2222 370 21104";"";"98K6987";"";"";
"D1";"PAR";"SFH225";"SFH225";"PHOTO DIODE";"";"";"unknown";"unknown";"";"";
"D2";"";"DIODESOD-323F";"SOD-323F";"Diode";"";"";"";"unknown";"";"";
"D3";"";"DIODESOD-323F";"SOD-323F";"Diode";"";"";"";"unknown";"";"";
"IC1";"LT1129";"LT1129CQ-5";"Q5-DD";"VOLTAGE REGULATOR";"";"LT1129CQ-5#PBF";"1663373";"57M2058";"";"";
"JP1";"PRESSURE1";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";
"JP2";"PRESSURE2";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";
"Q1";"";"MOSFET-NREFLOW";"SOT23";"N-Channel Mosfet";"";"";"";"";"";"";
"Q2";"";"MOSFET-NREFLOW";"SOT23";"N-Channel Mosfet";"";"";"";"";"";"";
"R1";"33200";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"unknown";"";"";
"R2";"1150";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"unknown";"";"";
"R3";"200k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"unknown";"";"";
"R4";"";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R5";"2.2K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"unknown";"";"";
"R6";"";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R7";"3.74K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"unknown";"";"";
"R8";"";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R9";"2.2K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"unknown";"";"";
"R10";"";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R11";"";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"unknown";"";"";
"R12";"10k,0.01%,0.2ppm";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";"";
"R13";"10k, 0.01%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R14";"10k";"THERMISTOR-2,5";"RS-2,5";"THERMISTOR";"";"";"";"";"";"";
"R15";"10k, 0.01%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R16";"10k, 0.01%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R17";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"unknown";"";"";
"R18";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"unknown";"";"";
"R19";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"unknown";"";"";
"R20";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"unknown";"";"";
